Time,I1,target
0.590400675,863.9591972,2
0.591200675,863.9232631,2
0.592000674,863.8887055,2
0.592800674,863.8555029,2
0.593600674,863.8236335,2
0.594400674,863.7930756,2
0.595200673,863.7638076,2
0.596000673,863.7358078,2
0.596800673,863.7090545,2
0.597600673,863.6835261,2
0.598400673,863.6592008,2
0.599200673,863.636057,2
0.600000672,863.6140731,2
0.600800672,863.5932272,2
0.601600672,863.5734979,2
0.602400672,863.5548633,2
0.603200672,863.5373018,2
0.604000672,863.5207917,2
0.604800672,863.5053114,2
0.605600671,863.4908392,2
0.606400671,863.4773534,2
0.607200671,863.4648323,2
0.608000671,863.4532542,2
0.608800671,863.4425976,2
0.609600671,863.4328406,2
0.610400671,863.4239616,2
0.611200671,863.415939,2
0.612000671,863.408751,2
0.612800671,863.4023761,2
0.613600671,863.3967924,2
0.614400671,863.3919784,2
0.615200671,863.3879123,2
0.616000671,863.3845725,2
0.61680067,863.3819374,2
0.61760067,863.3799851,2
0.61840067,863.3786941,2
0.61920067,863.3780427,2
0.62000067,863.3780092,2
0.62080067,863.3785719,2
0.62160067,863.3797091,2
0.62240067,863.3813993,2
0.62320067,863.3836206,2
0.62400067,863.3863514,2
0.62480067,863.3895701,2
0.62560067,863.3932549,2
0.62640067,863.3973843,2
0.62720067,863.4019364,2
0.62800067,863.4068897,2
0.62880067,863.4122224,2
0.62960067,863.4179129,2
0.63080067,863.4213193,2
0.63160067,863.4271506,2
0.63240067,863.4338361,2
0.63320067,863.4379133,2
0.63400067,863.4470995,2
0.63480067,863.4517334,2
0.63560067,863.4607923,2
0.63640067,863.4704231,2
0.63720067,863.4792055,2
0.638000671,863.4888242,2
0.638800671,863.4964451,2
0.63960067,863.5046346,2
0.640400671,863.5108997,2
0.641200671,863.5163015,2
0.642000671,863.520007,2
0.642800671,863.5277254,2
0.64360067,863.5327259,2
0.644400671,863.5380614,2
0.645200672,863.5462741,2
0.646000671,863.5522984,2
0.646800671,863.5578655,2
0.647600672,863.5662661,2
0.648400671,863.5746101,2
0.649200671,863.583235,2
0.650000671,863.592013,2
0.65080067,863.6002456,2
0.651600671,863.6101009,2
0.652400671,863.61851,2
0.653200671,863.6298632,2
0.654000671,863.6383017,2
0.654800671,863.6460687,2
0.655600671,863.6545806,2
0.656400671,863.6614866,2
0.657200671,863.6658893,2
0.658000671,863.6683431,2
0.658800671,863.6721166,2
0.65960067,863.6746404,2
0.660400671,863.6764366,2
0.66120067,863.6746329,2
0.662000669,863.6753297,2
0.66280067,863.6753082,2
0.66360067,863.6776699,2
0.66440067,863.6795902,2
0.66520067,863.6839948,2
0.666000669,863.6876133,2
0.666800669,863.6926396,2
0.66760067,863.6967513,2
0.66840067,863.6999962,2
0.66920067,863.7049583,2
0.67000067,863.7087597,2
0.67080067,863.7114482,2
0.67160067,863.7157279,2
0.67240067,863.7190808,2
0.67320067,863.7239274,2
0.67400067,863.7253939,2
0.67480067,863.7273836,2
0.67560067,863.7283655,2
0.676400669,863.7313866,2
0.677200669,863.7345728,2
0.678000669,863.736997,2
0.67880067,863.7396825,2
0.679600669,863.741446,2
0.680400669,863.744361,2
0.681200669,863.7494218,2
0.682000669,863.7540238,2
0.682800669,863.7565066,2
0.683600669,863.7628331,2
0.684400669,863.7669013,2
0.685200669,863.769331,2
0.686000669,863.7747624,2
0.686800669,863.7791483,2
0.687600669,863.7835596,2
0.688000669,863.7851707,2
0.688800669,863.788387,2
0.689600669,863.7915966,2
0.690400669,863.7948011,2
0.691200668,863.7980019,2
0.692000668,863.8012008,2
0.692800668,863.8043992,2
0.693600668,863.8075987,2
0.694400668,863.8108008,2
0.695200668,863.8140071,2
0.696000668,863.8172192,2
0.696800668,863.8204386,2
0.697600668,863.8236669,2
0.698400668,863.8269056,2
0.699200668,863.8301563,2
0.700000668,863.8334206,2
0.700800668,863.8366999,2
0.701600668,863.8399959,2
0.702400668,863.8433102,2
0.703200668,863.8466441,2
0.704000668,863.8499994,2
0.704800668,863.8533776,2
0.705600669,863.8567802,2
0.706400669,863.8602088,2
0.707200669,863.863665,2
0.708000669,863.8671503,2
0.708800669,863.8706662,2
0.709600669,863.8742144,2
0.710400669,863.8777963,2
0.711200669,863.8814135,2
0.71200067,863.8850677,2
0.71280067,863.8887602,2
0.71360067,863.8924928,2
0.71440067,863.896267,2
0.71520067,863.9000842,2
0.716000671,863.9039461,2
0.716800671,863.9078543,2
0.717600671,863.9118102,2
0.718400672,863.9158155,2
0.719200672,863.9198716,2
0.720000672,863.9239802,2
0.720800673,863.9281428,2
0.721600673,863.932361,2
0.722400673,863.9366363,2
0.723200674,863.9409703,2
0.724000674,863.9453645,2
0.724800675,863.9498204,2
0.725600675,863.9543398,2
0.726400676,863.958924,2
0.727200676,863.9635747,2
