Time,I1,target
2.220400667,504.9661504,2
2.220800667,504.8946428,2
2.221200667,504.8234034,2
2.221600667,504.7524406,2
2.222000667,504.681763,2
2.222400667,504.6113792,2
2.222800667,504.5412975,2
2.223200666,504.4715266,2
2.223600666,504.402075,2
2.224000666,504.3329511,2
2.224400666,504.2641635,2
2.224800666,504.1957207,2
2.225200666,504.1276312,2
2.225600666,504.0599035,2
2.226000666,503.9925461,2
2.226400666,503.9255676,2
2.226800665,503.8589765,2
2.227200665,503.7927812,2
2.227600665,503.7269904,2
2.228000665,503.6616124,2
2.228400665,503.5966558,2
2.228800665,503.5321292,2
2.229200665,503.468041,2
2.229600665,503.4043998,2
2.230000665,503.3412141,2
2.230400665,503.2784923,2
2.230800665,503.2162431,2
2.231200665,503.1544749,2
2.231600665,503.0931962,2
2.232000665,503.0324155,2
2.232400665,502.9721414,2
2.232800665,502.9123824,2
2.233200665,502.8531469,2
2.233600664,502.7944436,2
2.234000664,502.7362808,2
2.234400664,502.6786672,2
2.234800664,502.6216113,2
2.235200664,502.5651214,2
2.235600664,502.5092063,2
2.236000664,502.4538743,2
2.236400664,502.3991341,2
2.236800664,502.344994,2
2.237200664,502.2914627,2
2.237600664,502.2385486,2
2.238000664,502.1862602,2
2.238400664,502.1346061,2
2.238800664,502.0835948,2
2.239200665,502.0332348,2
2.239600665,501.9835346,2
2.240000665,501.9345028,2
2.240600665,501.8479185,2
2.241000665,501.7865289,2
2.241400665,501.7283206,2
2.241800666,501.6685473,2
2.242200666,501.6150371,2
2.242600665,501.5605348,2
2.243000664,501.5091586,2
2.243400665,501.4589765,2
2.243800664,501.4151397,2
2.244200664,501.372566,2
2.244600664,501.3343224,2
2.245000664,501.2988693,2
2.245400664,501.2662124,2
2.245800665,501.2351709,2
2.246200665,501.2046803,2
2.246600665,501.1784594,2
2.247000666,501.1574798,2
2.247400665,501.1357639,2
2.247800666,501.1167538,2
2.248200667,501.0985137,2
2.248600666,501.0841771,2
2.249000666,501.0707962,2
2.249400666,501.0549526,2
2.249800666,501.0396581,2
2.250200666,501.0249163,2
2.250600667,501.0032192,2
2.251000666,500.9877752,2
2.251400667,500.9687969,2
2.251800666,500.9527165,2
2.252200666,500.9374091,2
2.252600666,500.9219786,2
2.253000667,500.9119513,2
2.253400667,500.9015691,2
2.253800667,500.8915565,2
2.254200667,500.8822451,2
2.254600666,500.8754359,2
2.255000666,500.8670603,2
2.255400666,500.8581178,2
2.255800666,500.8530415,2
2.256200666,500.8521845,2
2.256600667,500.8500941,2
2.257000667,500.8503203,2
2.257400666,500.852871,2
2.257800666,500.8538063,2
2.258200666,500.8575881,2
2.258600666,500.8634852,2
2.259000667,500.8735903,2
2.259400666,500.8867424,2
2.259800666,500.8960469,2
2.260200666,500.9105735,2
2.260600667,500.9270256,2
2.261000666,500.9434881,2
2.261400667,500.9618258,2
2.261800667,500.977552,2
2.262200668,500.9960664,2
2.262600668,501.0209982,2
2.263000667,501.0480128,2
2.263400668,501.077941,2
2.263800668,501.1097081,2
2.264200668,501.1413983,2
2.264600668,501.1722028,2
2.265000667,501.2031838,2
2.265400668,501.2377577,2
2.265800668,501.2724978,2
2.266200667,501.3089898,2
2.266600667,501.3461777,2
2.267000668,501.3842956,2
2.267400669,501.4223303,2
2.267800669,501.4598364,2
2.268200668,501.4985417,2
2.268600667,501.5385678,2
2.269000667,501.5780695,2
2.269400668,501.6174361,2
2.269800668,501.6540964,2
2.270200667,501.6889258,2
2.270600668,501.7224793,2
2.271000668,501.7519609,2
2.271400668,501.7796714,2
2.271800668,501.8014676,2
2.272200668,501.8224294,2
2.272600668,501.8394839,2
2.273000668,501.8495525,2
2.273400667,501.854516,2
2.273800666,501.8513393,2
2.274200666,501.8529663,2
2.274600667,501.8520694,2
2.275000667,501.8537376,2
2.275400667,501.8569717,2
2.275800667,501.8609742,2
2.276200667,501.8646212,2
2.276600666,501.8670303,2
2.277000666,501.8729492,2
2.277400667,501.8797624,2
2.277800668,501.888942,2
2.278200667,501.8981376,2
2.278600668,501.9061723,2
2.279000668,501.9132193,2
2.279400668,501.919797,2
2.279800668,501.9283305,2
2.280200669,501.9340426,2
2.280600669,501.9396439,2
2.281000668,501.9448724,2
2.281400668,501.9503221,2
2.281800668,501.9566032,2
2.282200667,501.9638619,2
2.282600668,501.9718565,2
2.283000668,501.9778993,2
2.283400668,501.9842837,2
2.283800668,501.9876886,2
2.284200668,501.9945014,2
2.284600668,501.998339,2
2.285000668,502.0012512,2
2.285400668,502.0040556,2
2.285800667,502.0101526,2
2.286200667,502.0174695,2
2.286600668,502.0231851,2
2.287000668,502.0333487,2
2.287400668,502.0436133,2
2.287800668,502.0508486,2
2.288200668,502.0573233,2
2.288600668,502.0658755,2
2.289000668,502.0721242,2
2.289400669,502.0813537,2
2.289800668,502.0873076,2
2.290200669,502.0935875,2
2.290600668,502.1058079,2
2.291000668,502.1145193,2
2.291400668,502.1242736,2
2.291800668,502.1316062,2
2.292200668,502.1398636,2
2.292600669,502.1482492,2
2.293000668,502.1584888,2
2.293400668,502.1690835,2
2.293800669,502.1793463,2
2.294200669,502.1896561,2
2.29460067,502.2008277,2
2.29500067,502.2101644,2
2.29540067,502.2199351,2
2.295800669,502.2303367,2
2.296200668,502.2405612,2
2.296600668,502.2505801,2
2.297000668,502.2618813,2
2.297400667,502.2731171,2
2.297800667,502.285207,2
2.298200668,502.2958139,2
2.298600668,502.3068622,2
2.299000668,502.3152919,2
2.299400669,502.3237582,2
2.299800668,502.3393306,2
2.300200668,502.3520957,2
2.300600668,502.3607377,2
2.301000669,502.372746,2
2.301400669,502.3842053,2
2.301800669,502.3996675,2
2.302200668,502.4154793,2
2.302600668,502.4270718,2
2.303000668,502.4413395,2
2.303400668,502.4533052,2
2.303800667,502.4652396,2
2.304200668,502.4771164,2
2.304600668,502.4909363,2
2.305000668,502.5037188,2
2.305400668,502.5116706,2
2.305800667,502.5173844,2
2.306200668,502.5245895,2
2.306600668,502.5346758,2
2.307000667,502.5461861,2
2.307400667,502.557231,2
2.307800666,502.5681277,2
2.308200666,502.5777368,2
2.308600666,502.5879646,2
2.309000666,502.5995783,2
2.309400666,502.6120421,2
2.309800666,502.623306,2
2.310200666,502.6357179,2
2.310600667,502.6467037,2
2.311000666,502.6559546,2
2.311400667,502.6654869,2
2.311800667,502.6730834,2
2.312200668,502.6811786,2
2.312600668,502.6872228,2
2.313000667,502.6965909,2
2.313400668,502.6994547,2
2.313800668,502.7051472,2
2.314200668,502.7103043,2
2.314600668,502.7183472,2
2.315000668,502.7265912,2
2.315400669,502.7337781,2
2.315800669,502.7436172,2
2.31620067,502.7538323,2
2.31660067,502.7638593,2
2.317000671,502.7686442,2
2.317400672,502.7745034,2
2.317800671,502.7787915,2
2.318200672,502.7834996,2
2.318600671,502.7877068,2
2.319000671,502.7979245,2
2.319400671,502.8057813,2
2.319800671,502.8128269,2
2.320200671,502.8205795,2
2.320600671,502.8270756,2
2.321000671,502.8333225,2
2.321400671,502.8384648,2
2.32180067,502.8494227,2
2.322200671,502.8559955,2
2.32260067,502.8640098,2
2.32300067,502.8725232,2
2.32340067,502.882036,2
2.32380067,502.8934406,2
2.324200671,502.9011918,2
2.324600671,502.9086709,2
2.32500067,502.916601,2
2.32540067,502.9257509,2
2.325800671,502.9324924,2
2.326200671,502.9417209,2
2.326600671,502.9539824,2
2.327000671,502.9600393,2
2.327400671,502.9672333,2
2.327800671,502.9745757,2
2.328200671,502.9843968,2
2.328600672,502.9928454,2
2.329000671,503.0002116,2
2.32940067,503.008465,2
2.32980067,503.0167238,2
2.33020067,503.026854,2
2.330600671,503.0351697,2
2.331000671,503.0493331,2
2.331400671,503.06412,2
2.331800671,503.0771161,2
2.332200671,503.0940571,2
2.332600671,503.1075039,2
2.333000672,503.1184945,2
2.333400672,503.1259755,2
2.333800672,503.1321306,2
2.334200672,503.1376852,2
2.334600671,503.1445355,2
2.33500067,503.1537546,2
2.33540067,503.161961,2
2.33580067,503.1723025,2
2.33620067,503.1812345,2
2.33660067,503.1920267,2
2.337000671,503.2024275,2
2.337400671,503.2102454,2
2.337800671,503.2185249,2
2.338200671,503.2269938,2
2.338600671,503.238069,2
2.339000671,503.2492483,2
2.33940067,503.2605835,2
2.33980067,503.2652954,2
2.34020067,503.2732292,2
2.34060067,503.2828558,2
2.34100067,503.2925901,2
2.34140067,503.3002479,2
2.341800669,503.305879,2
2.342200669,503.3088095,2
2.342600669,503.3133764,2
2.343000669,503.3157375,2
2.343400669,503.3181584,2
2.34380067,503.3225753,2
2.344200669,503.3233168,2
2.344600669,503.3253655,2
2.345000669,503.3316806,2
2.34540067,503.3393748,2
2.34580067,503.3465708,2
2.34620067,503.3523512,2
2.346600669,503.3539648,2
2.34700067,503.3524962,2
2.347400671,503.3526727,2
2.347800671,503.3532194,2
2.348200672,503.3553547,2
2.348600673,503.3553161,2
2.349000674,503.3533163,2
2.349400674,503.3482884,2
2.349800674,503.3453915,2
2.350200675,503.3400301,2
2.350600674,503.3327842,2
2.351000675,503.3270387,2
2.351400675,503.3217228,2
2.351800674,503.3175985,2
2.352200674,503.3120819,2
2.352600674,503.3075263,2
2.353000674,503.3025929,2
2.353400674,503.2998163,2
2.353800674,503.2986568,2
2.354200674,503.3005896,2
2.354600674,503.3005337,2
2.355000675,503.3020225,2
2.355400675,503.3023612,2
2.355800674,503.3017053,2
2.356200675,503.3027011,2
2.356600675,503.3040797,2
2.357000675,503.3087022,2
2.357400674,503.3096614,2
2.357800674,503.3114391,2
2.358200674,503.3150799,2
2.358600675,503.3186888,2
2.359000674,503.3156264,2
2.359400675,503.3172276,2
2.359800674,503.3180806,2
2.360200673,503.317697,2
