Time,I1,target
1.335200665,939.2452371,2
1.336000666,939.1920521,2
1.336800667,939.1408604,2
1.337600667,939.0916308,2
1.338400668,939.0443318,2
1.339200669,938.9989321,2
1.340000669,938.9554004,2
1.34080067,938.9137053,2
1.34160067,938.8738154,2
1.342400671,938.8356995,2
1.343200671,938.799326,2
1.344000672,938.7646638,2
1.344800672,938.7316814,2
1.345600672,938.7003475,2
1.346400673,938.6706306,2
1.347200673,938.6424996,2
1.348000673,938.615923,2
1.348800674,938.5908694,2
1.349600674,938.5673076,2
1.350400674,938.5452061,2
1.351200674,938.5245336,2
1.352000674,938.5052587,2
1.352800674,938.4873502,2
1.353600674,938.4707766,2
1.354400674,938.4555065,2
1.355200674,938.4415087,2
1.356000674,938.4287518,2
1.356800674,938.4172044,2
1.357600674,938.4068352,2
1.358400674,938.3976127,2
1.359200674,938.3895058,2
1.360000674,938.3824829,2
1.360800674,938.3765128,2
1.361600673,938.3715641,2
1.362400673,938.3676055,2
1.363200673,938.3646055,2
1.364000673,938.3625329,2
1.364800673,938.3613562,2
1.365600673,938.3610442,2
1.366400672,938.3615654,2
1.367200672,938.3628886,2
1.368000672,938.3649824,2
1.368800672,938.3678153,2
1.369600671,938.3713561,2
1.370400671,938.3755734,2
1.371200671,938.3804359,2
1.372000671,938.3859121,2
1.37280067,938.3919708,2
1.37360067,938.3985806,2
1.37440067,938.4057102,2
1.37560067,938.4135758,2
1.37640067,938.420292,2
1.37720067,938.4219461,2
1.378000671,938.428536,2
1.378800671,938.4320339,2
1.379600671,938.4373016,2
1.380400671,938.4464998,2
1.38120067,938.449137,2
1.38200067,938.4552174,2
1.38280067,938.4666869,2
1.383600671,938.4747942,2
1.384400671,938.4869651,2
1.385200671,938.49922,2
1.386000671,938.5112266,2
1.386800671,938.5223799,2
1.38760067,938.5345646,2
1.38840067,938.5463928,2
1.38920067,938.5619703,2
1.39000067,938.5738028,2
1.39080067,938.5855136,2
1.39160067,938.6014309,2
1.392400669,938.6136232,2
1.393200669,938.6249619,2
1.394000669,938.6401788,2
1.394800668,938.6541182,2
1.395600668,938.6627335,2
1.396400668,938.6731085,2
1.397200667,938.686505,2
1.398000667,938.6967426,2
1.398800666,938.7111777,2
1.399600666,938.7220992,2
1.400400667,938.7315486,2
1.401200667,938.7386514,2
1.402000668,938.7435194,2
1.402800668,938.752777,2
1.403600668,938.7609104,2
1.404400668,938.7638166,2
1.405200668,938.7705203,2
1.406000667,938.776346,2
1.406800667,938.7825773,2
1.407600667,938.789943,2
1.408400667,938.7924482,2
1.409200667,938.7993282,2
1.410000667,938.8042119,2
1.410800668,938.8061301,2
1.411600668,938.8112098,2
1.412400668,938.8164261,2
1.413200668,938.8198501,2
1.414000669,938.8185137,2
1.414800669,938.8198746,2
1.415600668,938.8218163,2
1.416400669,938.8254518,2
1.41720067,938.832333,2
1.418000669,938.8369163,2
1.41880067,938.8418674,2
1.41960067,938.8488918,2
1.420400671,938.8609756,2
1.421200671,938.8685028,2
1.422000671,938.8714276,2
1.422800671,938.8809115,2
