Time,I1,target
1.170400666,938.9412813,2
1.171200666,938.874099,2
1.172000666,938.81002,2
1.172800666,938.7489884,2
1.173600666,938.6909485,2
1.174400667,938.6358446,2
1.175200667,938.583621,2
1.176000667,938.5342218,2
1.176800667,938.4875914,2
1.177600667,938.4436739,2
1.178400667,938.4024137,2
1.179200668,938.3637551,2
1.180000668,938.3276422,2
1.180800668,938.2940193,2
1.181600668,938.2628307,2
1.182400668,938.2340206,2
1.183200668,938.2075333,2
1.184000668,938.1833131,2
1.184800668,938.1613041,2
1.185600669,938.1414508,2
1.186400669,938.1236972,2
1.187200669,938.1079877,2
1.188000669,938.0942666,2
1.188800669,938.082478,2
1.189600669,938.0725662,2
1.190400669,938.0644756,2
1.191200669,938.0581503,2
1.192000669,938.0535346,2
1.192800669,938.0505728,2
1.193600669,938.0492091,2
1.194400669,938.0493878,2
1.195200669,938.0510531,2
1.19600067,938.0541493,2
1.19680067,938.0586207,2
1.19760067,938.0644114,2
1.19840067,938.0714658,2
1.19920067,938.0797282,2
1.20000067,938.0891427,2
1.20080067,938.0996536,2
1.20160067,938.1112052,2
1.20240067,938.1237417,2
1.20320067,938.1372075,2
1.20400067,938.1515466,2
1.20480067,938.1667035,2
1.20560067,938.1826224,2
1.20640067,938.1992475,2
1.20720067,938.216523,2
1.20800067,938.2343933,2
1.20880067,938.2528025,2
1.20960067,938.2716951,2
1.210800669,938.2954318,2
1.21160067,938.3115313,2
1.21240067,938.3260472,2
1.213200669,938.3390065,2
1.214000669,938.356122,2
1.214800669,938.3735184,2
1.215600669,938.392364,2
1.216400669,938.4015455,2
1.217200669,938.4120303,2
1.21800067,938.4291109,2
1.21880067,938.4495028,2
1.219600671,938.4668488,2
1.220400671,938.4841986,2
1.221200671,938.4983096,2
1.22200067,938.5136791,2
1.222800671,938.5303312,2
1.223600671,938.5472408,2
1.224400671,938.564734,2
1.225200671,938.5822216,2
1.226000672,938.5971168,2
1.226800672,938.6098149,2
1.227600671,938.6230187,2
1.228400671,938.6396425,2
1.229200671,938.6554004,2
1.23000067,938.6711554,2
1.230800671,938.6881166,2
1.231600671,938.7040425,2
1.23240067,938.7160442,2
1.23320067,938.7275472,2
1.234000669,938.7370366,2
1.234800669,938.7461031,2
1.235600669,938.7574636,2
1.236400668,938.761304,2
1.237200668,938.7647936,2
1.238000668,938.7668447,2
1.238800668,938.7692212,2
1.239600667,938.7750709,2
1.240400668,938.781829,2
1.241200669,938.7867538,2
1.242000669,938.7914256,2
1.242800669,938.7937161,2
1.24360067,938.7981749,2
1.24440067,938.8038309,2
1.24520067,938.8100913,2
1.24600067,938.8160798,2
1.246800671,938.8193435,2
1.247600671,938.8247522,2
1.24840067,938.8287717,2
1.24920067,938.8316647,2
1.25000067,938.8385266,2
1.25080067,938.8430199,2
1.25160067,938.8462653,2
1.25240067,938.8483007,2
1.25320067,938.8527057,2
1.25400067,938.8551974,2
1.25480067,938.8602438,2
1.25560067,938.8653967,2
1.25640067,938.8689601,2
1.257200671,938.8711272,2
1.258000671,938.876173,2
1.258800671,938.881622,2
1.259600672,938.8868315,2
1.260400672,938.8906483,2
1.261200672,938.8952352,2
1.262000672,938.8993182,2
1.262800672,938.9019684,2
1.263600671,938.9036507,2
1.264400671,938.9046034,2
1.265200671,938.9053347,2
1.266000671,938.9063825,2
1.266800671,938.913946,2
1.267600671,938.9162044,2
1.268400671,938.9215211,2
1.26920067,938.9264034,2
1.27000067,938.9295199,2
1.270800671,938.9336645,2
1.271600671,938.9420684,2
1.272400671,938.945163,2
1.273200672,938.9473178,2
1.274000672,938.9499279,2
1.274800672,938.9564016,2
1.275600671,938.9624667,2
1.276400671,938.9646459,2
1.277200671,938.9696791,2
1.278000672,938.9740113,2
1.278800671,938.9787104,2
1.279600671,938.9857609,2
1.280400671,938.991116,2
1.28120067,938.9929631,2
1.28200067,938.9955791,2
1.282800669,938.9990683,2
1.283600669,939.0004441,2
1.284400669,938.9975412,2
1.285200669,939.0019848,2
1.286000669,939.0057297,2
1.286800669,939.0067504,2
1.287600669,939.006574,2
1.288400669,939.0105845,2
1.289200669,939.0154354,2
1.290000668,939.0189388,2
1.290800668,939.0235294,2
1.291600669,939.0255933,2
1.292400668,939.0274579,2
1.293200669,939.0276666,2
1.294000669,939.0292038,2
1.294800669,939.0361373,2
1.295200669,939.038632,2
1.296000669,939.0436708,2
1.296800669,939.0487718,2
1.297600669,939.0539307,2
1.298400669,939.0591431,2
1.299200669,939.0644046,2
1.300000669,939.0697109,2
1.300800668,939.0750576,2
1.301600668,939.0804404,2
1.302400668,939.0858548,2
1.303200668,939.0912965,2
1.304000668,939.0967611,2
1.304800668,939.1022443,2
1.305600668,939.1077417,2
1.306400668,939.1132489,2
1.307200668,939.1187616,2
1.308000668,939.1242753,2
1.308800667,939.1297858,2
1.309600667,939.1352886,2
1.310400667,939.1407794,2
1.311200667,939.1462538,2
1.312000667,939.1517074,2
1.312800667,939.1571359,2
1.313600667,939.162535,2
1.314400667,939.1679001,2
1.315200667,939.1732271,2
1.316000667,939.1785114,2
1.316800667,939.1837488,2
1.317600667,939.1889348,2
1.318400667,939.1940651,2
1.319200667,939.1991354,2
1.320000667,939.2041412,2
1.320800667,939.2090782,2
1.321600667,939.213942,2
1.322400667,939.2187282,2
1.323200667,939.2234326,2
1.324000667,939.2280507,2
1.324800667,939.2325781,2
1.325600667,939.2370105,2
1.326400667,939.2413435,2
1.327200667,939.2455727,2
1.328000667,939.2496938,2
1.328800668,939.2537025,2
1.329600668,939.2575942,2
1.330400668,939.2613648,2
1.331200668,939.2650097,2
1.332000668,939.2685246,2
1.332800668,939.2719053,2
1.333600669,939.2751472,2
1.334400669,939.278246,2
